SourceNomenCode,DestNomenCode,ReporterISO3,TradeFlow,ProductCode,TradeValue,Quantity,QuantityToken,NetWeight,PartnerISO3,Year
H0,GP,DDR,2,13,60,149696,7,112300,YUG,1988
H0,GP,DDR,2,34,6,1563,7,1625,VEN,1988
H0,GP,DDR,2,33,567,188759,7,167689,LBY,1988
H0,GP,DDR,2,10,277,1655136,5,96000,SAU,1988
H0,GP,DDR,2,33,313,0,-1,,AUS,1988
H0,GP,DDR,2,33,4,0,-1,,JOR,1988
H0,GP,DDR,2,42,2,0,-1,,UGA,1988
H0,GP,AUS,2,33,7.441,1316,8,1316,CRI,1988
H0,GP,AUS,2,41,31.262,22,8,22,MAC,1988
H0,GP,AUS,2,29,576.037,26489,8,26489,SGP,1988
H0,GP,AUS,2,13,1.25,10,8,10,ISR,1988
H0,GP,AUS,2,41,115766.326,1.76E+07,8,1.76E+07,PNG,1988
H0,GP,IND,2,29,87.223,6500,6,,MWI,1988
H0,GP,IND,2,37,17.814,15654,5,,LBN,1988
H0,GP,IND,2,29,1194.335,436560,5,,NOR,1988
H0,GP,IND,2,26,16.373,21458,7,20000,SAU,1988
H0,GP,IND,2,8,1.385,496,8,496,FJI,1988
H0,GP,IND,2,25,99.88,140000,8,140000,MDG,1988
H0,GP,IND,2,33,282.76,130750,8,130750,NIC,1988
H0,GP,IND,2,42,6.206,1937,8,1937,SUR,1988
H0,GP,IND,2,26,152.438,17679,8,17679,CHE,1988
H0,GP,IND,2,14,737.017,364625,8,364625,FRA,1988
H0,GP,IND,2,23,63471.18,1.18E+08,8,1.18E+08,SVU,1988
H0,GP,IND,2,29,96.614,2562,8,2562,IRN,1988
H0,GP,CHE,2,10,6.814,0,-1,,BLX,1988
H0,GP,CHE,2,14,22.496,0,-1,,BGR,1988
H0,GP,CHE,2,41,1768.345,0,-1,,JOR,1988
H0,GP,CHE,2,16,0.961,199,7,171,DNK,1988
H0,GP,CHE,2,42,342.488,9375,8,9375,BGD,1988
H0,GP,CHE,2,31,134.051,9784,8,9784,TZA,1988
H0,GP,CHE,2,31,64.23,6479,8,6479,ZAR,1988
H0,GP,CHE,2,38,458.893,19081,8,19081,PHL,1988
H0,GP,CHE,2,37,20577.452,1175411,8,1175411,CAN,1988
H0,GP,CHE,2,30,1780.536,424212,8,424212,NOR,1988
H0,GP,CHE,2,24,6.297,2499,8,2499,SGP,1988
H0,GP,CHE,2,1,0.421,368,8,368,UNS,1988
H0,GP,CHE,2,29,6.116,370,8,370,PAK,1988
H0,GP,CHE,2,39,12.454,308,8,308,ISL,1988
H0,GP,CHE,2,31,0.578,32,8,32,GUY,1988
H0,GP,CHE,2,30,1.027,30,8,30,TGO,1988
H0,GP,CHE,2,21,12.321,1812,8,1812,ARG,1988
H0,GP,FIN,2,8,13858.798,4612094,8,4612094,WLD,1988
H0,GP,CHE,2,37,6.802,84,8,84,HTI,1988
H0,GP,CHE,2,26,3.515,66,8,66,ZMB,1988
H0,GP,JPN,2,33,295.107,0,-1,,DZA,1988
H0,GP,JPN,2,36,2441.247,0,-1,,GBR,1988
